Got expression data for 200, mutations for 196, both for 196
Valid patients: 1408 mutations, expression data for 19990 proteins
     IDH2+RUNX1:        C10orf96     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
     IDH2+RUNX1:           KRT75     0.00 +/-     0.00  -->      0.00 +/-     0.00, n= 5, p=0.002473
     IDH2+RUNX1:           OR5L1     0.00 +/-     0.00  -->      0.00 +/-     0.00, n= 5, p=0.002473
     IDH2+RUNX1:          OR6C65     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 5, p=0.002473
     IDH2+RUNX1:         RBMY2FP     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
     IDH2+RUNX1:     SNORD115-30     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
      NRAS+NPM1:           OR5H1     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
      NRAS+NPM1:       C10orf120     0.00 +/-     0.00  -->      0.01 +/-     0.01, n= 5, p=0.002473
      NRAS+NPM1:           OR4C3     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
      NRAS+NPM1:           OR8B2     0.00 +/-     0.00  -->      0.00 +/-     0.01, n= 5, p=0.002473
           NPM1:             MN1    11.82 +/-    16.80  -->      1.37 +/-     2.64, n=48, p=0.002774
           NPM1:          RIMKLB    12.07 +/-     7.87  -->      6.06 +/-     3.89, n=48, p=0.002802
       FLT3-ITD:             XPC    16.35 +/-     3.89  -->     21.74 +/-     4.68, n=37, p=0.002805
           NPM1:          SLC9A6     6.81 +/-     2.00  -->      8.66 +/-     1.78, n=48, p=0.002944
           NPM1:           CD320     6.98 +/-     4.78  -->      3.11 +/-     2.36, n=48, p=0.002944
           TP53:        EIF4EBP3    21.49 +/-     6.36  -->     10.70 +/-     2.31, n=14, p=0.002956
           NPM1:          MYBPC2     0.13 +/-     0.27  -->      0.03 +/-     0.04, n=48, p=0.002957
           NPM1:            GLI3     0.33 +/-     0.86  -->      0.03 +/-     0.05, n=48, p=0.002966
           NPM1:           SNRPN    19.52 +/-    11.31  -->      8.68 +/-     8.63, n=48, p=0.003063
           NPM1:          ARPP21     1.78 +/-     3.44  -->      0.05 +/-     0.16, n=48, p=0.003072
          RUNX1:            TLL2     0.07 +/-     0.17  -->      1.55 +/-     1.90, n=16, p=0.003113
           NPM1:           FNBP1    45.17 +/-    14.69  -->     58.54 +/-    13.18, n=48, p=0.003187
           NPM1:           HEMGN    26.04 +/-    31.27  -->      6.16 +/-    11.12, n=48, p=0.003251
           NPM1:           HIPK2    11.93 +/-     6.36  -->     21.52 +/-    11.30, n=48, p=0.003316
           NPM1:         TSPAN13    14.90 +/-    11.76  -->      5.00 +/-     6.00, n=48, p=0.003316
           NPM1:        FAM171A1     5.89 +/-    13.03  -->      0.72 +/-     2.50, n=48, p=0.003348
       FLT3-ITD:           LYRM1     7.92 +/-     3.49  -->     15.80 +/-     8.58, n=37, p=0.003409
           NPM1:            FGD5     2.21 +/-     4.97  -->      0.26 +/-     1.30, n=48, p=0.003448
           NPM1:            PLEK   141.81 +/-    50.63  -->    202.76 +/-    68.03, n=48, p=0.003449
           NPM1:          NUDT18     5.17 +/-     1.98  -->      7.37 +/-     2.20, n=48, p=0.003449
           NPM1:           ANXA1   217.22 +/-   135.54  -->    357.24 +/-   138.24, n=48, p=0.003518
           NPM1:           ADRB2    11.94 +/-    10.06  -->     24.58 +/-    15.58, n=48, p=0.003518
           IDH2:           ACCN3     1.53 +/-     2.41  -->      4.71 +/-     2.84, n=17, p=0.003542
           NPM1:            TPM4    95.51 +/-    61.72  -->     54.94 +/-    38.84, n=48, p=0.003588
    DNMT3A+NPM1:    LOC100271722     4.08 +/-     5.05  -->     11.67 +/-     5.91, n=23, p=0.003671
           NPM1:        CACNA2D2     2.71 +/-     7.25  -->      0.49 +/-     0.50, n=48, p=0.003769
           TP53:           ZMAT2    38.86 +/-    12.15  -->     20.86 +/-     3.66, n=14, p=0.003833
           NPM1:          COL9A3     0.60 +/-     0.63  -->      1.97 +/-     2.76, n=48, p=0.003882
           TP53:           KDM3B    35.25 +/-     6.72  -->     19.26 +/-     4.53, n=14, p=0.003959
           TP53:             VIP     0.06 +/-     0.17  -->      1.28 +/-     2.21, n=14, p=0.003984
           NPM1:            INSC     0.08 +/-     0.11  -->      0.02 +/-     0.03, n=48, p=0.004010
           NPM1:            RINL     5.09 +/-     2.68  -->      7.55 +/-     2.42, n=48, p=0.004038
           NPM1:        C10orf47     5.09 +/-     3.37  -->      2.20 +/-     1.51, n=48, p=0.004284
    DNMT3A+NPM1:           HOXB9     2.45 +/-    11.87  -->     16.44 +/-    44.19, n=23, p=0.004408
           NPM1:          SUCLG2     7.44 +/-     5.86  -->     13.95 +/-     6.22, n=48, p=0.004455
           NPM1:           LPHN1     7.11 +/-     6.35  -->      3.38 +/-     2.23, n=48, p=0.004543
    DNMT3A+NPM1:           HOXA5    19.79 +/-    28.36  -->     57.66 +/-    19.60, n=23, p=0.004606
    DNMT3A+NPM1:            NCR2     1.47 +/-     9.61  -->      6.59 +/-    20.37, n=23, p=0.004699
           NPM1:        ARHGAP22     3.40 +/-     3.71  -->      8.68 +/-     6.55, n=48, p=0.004818
           NPM1:           SKAP2    31.02 +/-    18.47  -->     50.43 +/-    17.23, n=48, p=0.004818
           NPM1:         RTN4RL2     1.21 +/-     0.90  -->      0.53 +/-     0.34, n=48, p=0.004865
    DNMT3A+NPM1:           HOXA7    10.32 +/-    12.28  -->     29.38 +/-    11.43, n=23, p=0.004905
    DNMT3A+NPM1:       HOXA11-AS     1.02 +/-     3.93  -->      2.53 +/-     2.57, n=23, p=0.004997
           NPM1:         SLC35B4     7.33 +/-     2.25  -->     10.54 +/-     3.71, n=48, p=0.005010
  NPM1+FLT3-ITD:         CARHSP1    14.35 +/-     4.12  -->      9.15 +/-     1.75, n=19, p=0.005032
          CEBPA:          UGT2B7     0.01 +/-     0.10  -->      0.02 +/-     0.02, n=13, p=0.005259
           NPM1:           LYPD6     0.05 +/-     0.17  -->      0.20 +/-     0.26, n=48, p=0.005343
           NPM1:         ADAMTS4     0.44 +/-     1.83  -->      0.06 +/-     0.06, n=48, p=0.005417
           NPM1:          IZUMO1     0.13 +/-     0.21  -->      0.04 +/-     0.07, n=48, p=0.005504
           NPM1:        FLJ42875     0.88 +/-     2.28  -->      3.53 +/-     3.62, n=48, p=0.005519
           NPM1:          TRIM46     4.50 +/-     3.83  -->      7.70 +/-     2.94, n=48, p=0.005524
           NPM1:           CARD9    16.76 +/-    11.43  -->     27.97 +/-    10.83, n=48, p=0.005524
    DNMT3A+NPM1:         PLA2G4A     8.62 +/-     5.38  -->     17.38 +/-     5.81, n=23, p=0.005555
           NPM1:           GNG11     7.16 +/-    12.84  -->      1.02 +/-     2.27, n=48, p=0.005561
           NPM1:        CACNA2D4     6.90 +/-    10.50  -->     14.73 +/-    12.12, n=48, p=0.005632
    DNMT3A+NPM1:           HOXA6    11.54 +/-    15.59  -->     36.24 +/-    16.14, n=23, p=0.005633
     IDH2+RUNX1:           XAGE3     0.00 +/-     0.02  -->      0.03 +/-     0.05, n= 5, p=0.005648
    DNMT3A+NPM1:           PRRT4     7.17 +/-    12.48  -->      0.55 +/-     1.06, n=23, p=0.005699
DNMT3A+FLT3-ITD:           FGF10     0.66 +/-     2.86  -->      3.86 +/-     3.33, n=12, p=0.005760
           NPM1:           MCF2L     1.09 +/-     1.26  -->      0.30 +/-     0.33, n=48, p=0.005856
           NPM1:         ADAMTS5     0.11 +/-     0.36  -->      0.44 +/-     0.62, n=48, p=0.005860
           NPM1:            TMIE     0.52 +/-     0.67  -->      0.15 +/-     0.18, n=48, p=0.005904
       FLT3-ITD:            CTNS     6.66 +/-     1.84  -->      9.11 +/-     2.19, n=37, p=0.005949
           NPM1:          FAM81B     0.42 +/-     0.35  -->      1.06 +/-     0.82, n=48, p=0.006088
          RUNX1:            DNTT    32.15 +/-   110.37  -->    316.50 +/-   269.98, n=16, p=0.006130
           NPM1:           ABHD2    32.87 +/-    12.35  -->     48.70 +/-    17.99, n=48, p=0.006208
           TP53:             CNP    18.04 +/-     3.89  -->     11.98 +/-     2.49, n=14, p=0.006210
           NPM1:           MMP11     0.79 +/-     0.98  -->      0.20 +/-     0.18, n=48, p=0.006268
           NPM1:       C10orf114     2.52 +/-     4.78  -->      5.41 +/-     4.64, n=48, p=0.006420
           NPM1:           ITM2A   107.93 +/-   117.36  -->     25.56 +/-    27.18, n=48, p=0.006453
  NPM1+FLT3-ITD:          PRSS54     0.20 +/-     0.21  -->      0.74 +/-     0.41, n=19, p=0.006585
           NPM1:         SLCO1B3     0.01 +/-     0.05  -->      0.06 +/-     0.20, n=48, p=0.006690
           NPM1:         TMEM105     0.72 +/-     1.78  -->      2.27 +/-     3.21, n=48, p=0.006751
           NPM1:            BCAN     0.17 +/-     0.89  -->      0.17 +/-     0.14, n=48, p=0.006785
          RUNX1:         C1orf21     2.55 +/-     2.64  -->      7.60 +/-     2.40, n=16, p=0.007429
           IDH1:           ROGDI    14.82 +/-    10.79  -->      3.02 +/-     2.28, n=16, p=0.007429
           NPM1:           FRMD6     1.00 +/-     1.28  -->      0.20 +/-     0.34, n=48, p=0.007461
           NPM1:           CLCC1    15.56 +/-     5.79  -->     10.17 +/-     3.47, n=48, p=0.007534
           NPM1:            PBX1     1.59 +/-     5.36  -->      0.19 +/-     0.74, n=48, p=0.007620
    DNMT3A+NPM1:          NKX2-3     3.00 +/-     5.38  -->     10.75 +/-     7.46, n=23, p=0.007728
    DNMT3A+NPM1:           HOXA3     5.99 +/-     7.66  -->     17.34 +/-     6.48, n=23, p=0.007744
           NPM1:            HNMT     2.88 +/-     5.13  -->      8.07 +/-     7.59, n=48, p=0.007831
           NPM1:          CT45A6     0.02 +/-     0.16  -->      0.09 +/-     0.22, n=48, p=0.007872
           TP53:       C20orf185     0.00 +/-     0.02  -->      0.10 +/-     0.18, n=14, p=0.007974
           NPM1:        TCTEX1D1    10.73 +/-    14.19  -->      2.53 +/-     3.64, n=48, p=0.007984
           NPM1:           RIPK3     8.33 +/-     3.97  -->     12.27 +/-     3.76, n=48, p=0.007984
           NPM1:          PRDM16     1.81 +/-     3.29  -->      5.41 +/-     5.14, n=48, p=0.008114
           NPM1:            FSD1     0.31 +/-     0.38  -->      0.07 +/-     0.09, n=48, p=0.008117
           NPM1:          H2AFY2     3.08 +/-     4.34  -->      8.24 +/-     5.82, n=48, p=0.008139
           NPM1:           ABCB1     5.83 +/-     8.37  -->      1.07 +/-     1.12, n=48, p=0.008139
           TP53:         C5orf15    32.19 +/-    10.14  -->     16.09 +/-     4.06, n=14, p=0.008269
          U2AF1:           FGF19     0.00 +/-     0.00  -->      0.01 +/-     0.02, n= 7, p=0.008407
    DNMT3A+NPM1:           HOXB1     0.03 +/-     0.07  -->      0.23 +/-     0.31, n=23, p=0.008466
           NPM1:            CTSE     1.97 +/-     5.87  -->      0.32 +/-     0.51, n=48, p=0.008620
           NPM1:         C1QTNF4    44.60 +/-    69.96  -->      7.82 +/-    10.26, n=48, p=0.008623
           NPM1:         MACROD2     0.68 +/-     1.63  -->      0.10 +/-     0.09, n=48, p=0.008790
           NPM1:           SESN3    13.65 +/-     8.91  -->      6.50 +/-     6.75, n=48, p=0.008790
           NPM1:             ASL     7.88 +/-     3.97  -->     12.44 +/-     4.94, n=48, p=0.008961
           TP53:           CNOT8    46.83 +/-    12.15  -->     25.65 +/-     6.51, n=14, p=0.009092
           NPM1:           AFAP1     0.72 +/-     0.88  -->      0.21 +/-     0.26, n=48, p=0.009135
           NPM1:         RASGRP3     7.82 +/-     9.11  -->     19.50 +/-    15.74, n=48, p=0.009135
           NPM1:          ANGPT4     0.13 +/-     0.20  -->      0.04 +/-     0.06, n=48, p=0.009233
  NPM1+FLT3-ITD:          TRIM16     1.76 +/-     2.29  -->      6.20 +/-     4.82, n=19, p=0.009272
           TP53:             IL7     0.86 +/-     2.15  -->      7.26 +/-     6.39, n=14, p=0.009682
    DNMT3A+NPM1:          TMIGD2     9.35 +/-     9.91  -->      0.76 +/-     0.83, n=23, p=0.009737
  NPM1+FLT3-ITD:           PDGFD     2.14 +/-     2.50  -->      7.60 +/-     3.93, n=19, p=0.009797
           NPM1:          CAMK2G    22.41 +/-     8.02  -->     16.02 +/-     4.47, n=48, p=0.009863

Significant effects:
                NPM1 296
         DNMT3A+NPM1 26
                TP53 16
               RAD21 15
       NPM1+FLT3-ITD 12
            FLT3-ITD 11
          IDH2+RUNX1 7
              MT-CYB 6
               RUNX1 6
           NRAS+NPM1 4
        WT1+FLT3-ITD 2
                IDH2 2
               FAM5C 2
     DNMT3A+FLT3-ITD 1
               CEBPA 1
           FLT3+NPM1 1
         PTPN11+NPM1 1
         FLT3+DNMT3A 1
               STAG2 1
                 TTN 1
               SMC1A 1
                IDH1 1
                KRAS 1
               U2AF1 1
                PHF6 1
